Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
GTF2E1,flexnonsynmtr,0.0868,146157,1,0.02,264,0.00180689494685402,11.2742,1.5511,81.9487
GNB2,flexnonsynmtr,0.0864,146157,1,0.02,263,0.0018000506478129,11.3171,1.5569,82.262
NMRK2,flexnonsynmtr,0.0864,146157,1,0.02,263,0.0018000506478129,11.3171,1.5569,82.262
TACC2,flexnonsynmtr,0.0859,146157,3,0.06,3038,0.0207929804869034,3.0059,0.9351,9.663
THYN1,flexnonsynmtr,0.0858,146157,1,0.02,261,0.00178636204973068,11.404,1.5689,82.8959
PTCD1,flexnonsynmtr,0.0858,146157,2,0.04,1424,0.00974628183454592,4.2335,1.0279,17.4352
PRAME,flexnonsynmtr,0.0856,146157,2,0.04,1423,0.0097394375355048,4.2365,1.0287,17.4476
ZNF383,flexnonsynmtr,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
CSE1L,flexnonsynmtr,0.0855,146157,1,0.02,260,0.00177951775068956,11.448,1.5749,83.2164
ULK4,flexnonsynmtr,0.0854,146157,2,0.04,1421,0.00972574893742257,4.2425,1.0301,17.4724
MSRA,flexnonsynmtr,0.0852,146157,1,0.02,259,0.00177267345164845,11.4922,1.5809,83.5395
LHX4,flexnonsynmtr,0.0852,146157,1,0.02,259,0.00177267345164845,11.4922,1.5809,83.5395
DLG5,flexnonsynmtr,0.085,146157,2,0.04,1417,0.00969837174125812,4.2546,1.0331,17.5223
IFT43,flexnonsynmtr,0.0849,146157,1,0.02,258,0.00176582915260734,11.5369,1.5871,83.8651
CHKB,flexnonsynmtr,0.0849,146157,1,0.02,258,0.00176582915260734,11.5369,1.5871,83.8651
OSTM1,flexnonsynmtr,0.0846,146157,1,0.02,257,0.00175898485356622,11.5818,1.5932,84.1932
OR8B4,flexnonsynmtr,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
LNPK,flexnonsynmtr,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
ARHGEF3,flexnonsynmtr,0.0842,146157,1,0.02,256,0.00175214055452511,11.6272,1.5994,84.5239
C4ORF17,flexnonsynmtr,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
CHN1,flexnonsynmtr,0.0839,146157,1,0.02,255,0.00174529625548399,11.6728,1.6057,84.8572
GNAZ,flexnonsynmtr,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
