Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
PGPEP1L,flexnonsyn,0.0507427588322128,957,253566,0.07177717,-0.0002806776,0.0586549437468493,0.0300231365130943,-0.000189602357968395,0.117499489851667
CXCL14,flexnonsyn,0.0508311980085731,374,254149,0.072271115,-0.0001280284,0.0936831634637759,0.0479710278215707,-0.00033877049075158,0.187705097418303
MFSD9,flexnonsyn,0.0508038247789827,2664,251859,0.0345647,-0.0004628719,0.0352651453001818,0.0180555940485067,-0.000123337044886901,0.0706536276452504
HLA-DPA1,flexnonsyn,0.0508841918957208,730,253793,0.10958475,-0.0003348435,0.0670873912457026,0.0343603664639178,-0.000258009781355539,0.134432792272761
PRPF18,flexnonsyn,0.050932323733645,313,254210,-0.04463763,0.00006401419,-0.102348313689997,0.0524309594610974,-0.205111594601129,0.000414967221135168
TP53BP2,flexnonsyn,0.0509369387443839,2785,251738,-0.03229831,0.000438251,-0.0344788917504526,0.017663186736396,-0.0690982662390088,0.0001404827381037
ZNF268,flexnonsyn,0.0509359953445475,3650,250873,0.03253972,-0.0003939335,0.0301696485620999,0.015455542215801,-0.000122801598661994,0.0604620987228618
EXOC3L2,flexnonsyn,0.0509913327527253,1751,252772,0.0601505,-0.00041855435,0.0433843378602964,0.0222305719894308,-0.000186989798890647,0.0869556655194833
NLRP4,flexnonsyn,0.0510551181517496,3368,251155,0.06807994,-0.0008568054,0.0313735246710163,0.0160805309954341,-0.000143886813892172,0.0628909361559249
ATL3,flexnonsyn,0.0511629108780676,1121,253402,-0.009838647,0.00005416585,0.0541141612859752,0.0277491438948531,-0.000273419990809071,0.108501742562759
HDDC2,flexnonsyn,0.0511715813074899,1141,253382,0.06349547,-0.00027082925,0.0536381933060951,0.0275060989910246,-0.000273026447214123,0.107549413059404
CD320,flexnonsyn,0.051203747773559,1200,253323,-0.021387315,0.0001083317,-0.0523017391572828,0.0268244662206799,-0.104876976876749,0.000273498562183734
TUBB6,flexnonsyn,0.0513188263516872,1116,253407,-0.038654495,0.0002068151,-0.0541982554231488,0.0278109023693903,-0.108706881661397,0.000310370815099902
ASNA1,flexnonsyn,0.0513708409271653,890,253633,0.02947542,-0.0001083317,0.0606505544187514,0.0311287402376808,-0.000360945472414123,0.121662054309917
GAPT,flexnonsyn,0.0513473764944544,595,253928,0.1222757,-0.000260980932214135,0.0741415044178343,0.038049102334044,-0.000433720444700331,0.148716729280369
CNP,flexnonsyn,0.0514246324660935,1103,253420,-0.06721624,0.00033976765,-0.054490910588352,0.027973775337888,-0.109318763496999,0.000336942320295117
GPRASP2,flexnonsyn,0.0514053103633406,942,253581,0.03954647,-0.0002462084,0.0589617232854923,0.0302664290245085,-0.00035966964705867,0.118283116218043
CRYBA2,flexnonsyn,0.0515455618101767,1149,253374,-0.03501799,0.00024128425,-0.0533661658295506,0.027410575223198,-0.107090161547905,0.00035782988880393
IFITM10,flexnonsyn,0.0514966130268036,1275,253248,-0.07694212,0.0003299193,-0.0506839438960089,0.0260274404958084,-0.101697032471149,0.000329144679131123
DDX41,flexnonsyn,0.0518227087864225,1878,252645,0.02087507,-0.0001772701,0.0417528390409869,0.02147103064841,-0.000329807865583696,0.0838354859475576
ACYP2,flexnonsyn,0.0519617994547995,254,254269,0.09431513,-0.00009848337,0.113102080265803,0.0581962715709821,-0.000961058476998899,0.227165219008605
MMP14,flexnonsyn,0.0519649087250466,2106,252417,-0.05362033,0.0003643885,-0.0394220307465167,0.0202847339907802,-0.0791795678720543,0.000335506379020925
SPRTN,flexnonsyn,0.0520627871762988,1408,253115,0.0230373,-0.0001280284,-0.0481268552312211,0.0247741569098413,-0.0966835414339878,0.000429830971545662
BCL2L14,flexnonsyn,0.0521296055654449,849,253674,-0.1163641,0.000379161,-0.0618914776912662,0.0318688025294299,-0.124353479918464,0.000570524535931982
PTGER3,flexnonsyn,0.0521851947520403,1100,253423,0.032608825,-0.0001674217,0.0543878078998024,0.0280116772718201,-0.000514331787568066,0.109289947587173
BOLL,flexnonsyn,0.0523139544461052,518,254005,-0.03804346,0.00008863503,-0.0791218882530001,0.0407729135748149,-0.15903571043592,0.000791933929919789
OLR1,flexnonsyn,0.0523066028110984,614,253909,0.042271905,-0.0001083317,0.0726896240893999,0.0374570847191249,-0.000725262051669937,0.14610451023047
AK3,flexnonsyn,0.0524818005563625,1017,253506,-0.0802614,0.00029052595,-0.0564830333574319,0.0291274342335832,-0.113572026904978,0.000605960190114094
GOT1,flexnonsyn,0.052497194591354,1284,253239,0.065484065,-0.0004136302,0.0502917190957071,0.0259363596440913,-0.000542853441449997,0.101126291632864
KPNA5,flexnonsyn,0.0525081693166719,1007,253516,-0.04464749,0.00011325585,-0.0567554387635319,0.0292711786856333,-0.11412616759987,0.000615290072806682
MCF2L2,flexnonsyn,0.052497705362429,3633,250890,0.02038747,-0.0003299193,0.0300379074373143,0.0154911319346112,-0.000324297622256019,0.0604001124968847
ZNF254,flexnonsyn,0.0526104485447969,3277,251246,-0.02271222,0.00027082926954829,-0.0315899473345189,0.0162993255909175,-0.0635361903859026,0.000356295716864741
POLR3D,flexnonsyn,0.0526987508644505,1253,253270,-0.07601367,0.00042840265,-0.0508637156595222,0.0262537261975408,-0.102320318169412,0.00059288685036768
HIST1H2BL,flexnonsyn,0.0527312049211107,245,254278,-0.1710291,0.00019204255,-0.11478306944684,0.0592543517701043,-0.230920017134709,0.00135387824102956
KMT2E,flexnonsyn,0.0527960613180196,4132,250391,-0.02487454,0.0003446918,-0.028158374170505,0.0145401513570522,-0.0566566826842715,0.000339934343261395
MANSC4,flexnonsyn,0.0528869714913658,779,253744,-0.06052542,0.0002018909,-0.0643966541532428,0.0332652825706607,-0.129595719982534,0.000802411676048595
TMEM154,flexnonsyn,0.0529242388597273,454,254069,0.09705045,-0.0001674217,0.0842862659864614,0.0435464701200743,-0.0010636529857015,0.169636184958624
RHOJ,flexnonsyn,0.0530544024430738,1278,253245,0.02614539,-0.00011818,0.05029057392366,0.0259968546975186,-0.000662567303313051,0.101243715150633
DUSP8,flexnonsyn,0.0531533728105722,1101,253422,0.057694,-0.000260980932214135,0.0541414078911805,0.0279991301893991,-0.000736139849586259,0.109018955631947
KANSL1,flexnonsyn,0.0531162605945885,10,254513,-0.575454792076076,0.00002954501,-0.566962199359759,0.293157719176169,-1.14154350316596,0.00761910444644343
EFCAB5,flexnonsyn,0.0532292847402484,3525,250998,0.02693846,-0.000379161007097494,0.0303940456842713,0.0157232394593314,-0.000423083927692608,0.0612111752962353
KRT38,flexnonsyn,0.0532577928683461,2030,252493,0.0484629946506702,-0.0004825685,0.0399282501156905,0.0206578815830629,-0.000560646329630425,0.0804171465610115
NUDT16,flexnonsyn,0.0532353452262882,610,253913,0.0146008,-0.00002954501,0.0726417330947152,0.0375794801082117,-0.00101304474164748,0.146296510931078
