Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
ANKRD45,flexnonsyn,0.0878,146157,2,0.0150375939849624,540,0.00369802224291897,4.1132,1.0153,16.6636
DSG3,flexnonsyn,0.0878,146157,4,0.0300751879699248,1834,0.012559579247247,2.4378,0.9003,6.6012
MED23,flexnonsyn,0.0872,146157,3,0.0225563909774436,1141,0.00781378403550101,2.9303,0.9315,9.2181
HSPB11,flexnonsyn,0.087,146157,1,0.0075187969924812,99,0.000677970744535145,11.1666,1.546,80.655
GEMIN5,flexnonsyn,0.0869,146157,5,0.037593984962406,2569,0.0175929984112201,2.1813,0.8919,5.3348
FASLG,flexnonsyn,0.0867,146157,2,0.0150375939849624,536,0.00367062948556402,4.144,1.0229,16.7887
CCDC81,flexnonsyn,0.0867,146157,3,0.0225563909774436,1138,0.0077932394674848,2.9381,0.934,9.2426
DKK3,flexnonsyn,0.0867,146157,2,0.0150375939849624,536,0.00367062948556402,4.144,1.0229,16.7887
SARDH,flexnonsyn,0.0865,146157,5,0.037593984962406,2565,0.0175656056538651,2.1847,0.8933,5.3433
TBRG4,flexnonsyn,0.0863,146157,3,0.0225563909774436,1136,0.00777954308880732,2.9433,0.9356,9.2591
INPP5A,flexnonsyn,0.0862,146157,2,0.0150375939849624,534,0.00365693310688654,4.1596,1.0267,16.852
C16ORF86,flexnonsyn,0.0834,146157,2,0.0150375939849624,524,0.00358845121349915,4.2393,1.0463,17.1756
MCCC2,flexnonsyn,0.0832,146157,3,0.0225563909774436,1118,0.00765627568071002,2.991,0.9508,9.4095
TRIM41,flexnonsyn,0.0831,146157,4,0.0300751879699248,1798,0.0123130444310524,2.4873,0.9185,6.7352
RANBP2,flexnonsyn,0.0831,146157,0,0,3589,0.0245781515367337,0,,
ANXA7,flexnonsyn,0.0831,146157,3,0.0225563909774436,1117,0.00764942749137128,2.9937,0.9516,9.418
KAT14,flexnonsyn,0.0831,146157,3,0.0225563909774436,1117,0.00764942749137128,2.9937,0.9516,9.418
BBS10,flexnonsyn,0.0829,146157,3,0.0225563909774436,1116,0.00764257930203254,2.9964,0.9525,9.4265
ARHGEF10L,flexnonsyn,0.0827,146157,5,0.037593984962406,2530,0.0173259190270093,2.2155,0.9059,5.4186
VGLL2,flexnonsyn,0.0826,146157,2,0.0150375939849624,521,0.00356790664548293,4.2638,1.0524,17.2751
NPM3,flexnonsyn,0.0826,146157,2,0.0150375939849624,521,0.00356790664548293,4.2638,1.0524,17.2751
MCM6,flexnonsyn,0.0824,146157,3,0.0225563909774436,1113,0.00762203473401633,3.0046,0.9551,9.4522
ARSI,flexnonsyn,0.0823,146157,4,0.0300751879699248,1792,0.01227195529502,2.4957,0.9216,6.7581
HOXC6,flexnonsyn,0.0821,146157,2,0.0150375939849624,519,0.00355421026680546,4.2803,1.0564,17.3421
GSAP,flexnonsyn,0.0821,146157,3,0.0225563909774436,1111,0.00760833835533885,3.01,0.9568,9.4694
LRRK2,flexnonsyn,0.082,146157,0,0,3539,0.0242357420697967,0,,
EEF1A2,flexnonsyn,0.082,146157,1,0.0075187969924812,93,0.000636881608502712,11.8875,1.6448,85.9164
